username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
d_gerbino;2015-12-29 10:54;1;0;"più IMMIGRATI più TASSE più DISOCCUPATI più INSICUREZZA Questo è il vero bilancio di un anno di # GovernoRenzi @ SkyTG24";;@;#;"681790468137598976";https://twitter.com/d_gerbino/status/681790468137598976
Fedcittsovr;2015-12-13 10:36;1;0;"@ Fedcittsovr le Élites hanno usato gli immigrati per fare crescere il senso di insicurezza e di paura che la crisi aveva creato...";;@;;"675987720230076420";https://twitter.com/Fedcittsovr/status/675987720230076420
LuisyCece;2015-11-17 21:22;0;0;"@ matteosalvinimi è il netto dello stipendio di chi lavora e nn fa il politico che porta terrore e insicurezza nn gli immigrati";;@;;"666728027846541314";https://twitter.com/LuisyCece/status/666728027846541314
AlambraCortez;2015-11-17 21:04;3;8;"@ matteosalvinimi tu porti insicurezza. Non c'entrano gli immigrati perché sono coloro che scappano dall'isis. Usa il cervello";;@;;"666723605347180544";https://twitter.com/AlambraCortez/status/666723605347180544
risiculo;2015-10-16 10:51;0;0;"@ Mario_Giannetta @ LorenzoRaz51 @ GiancarloPasqu1 @ luigidimaio + immigrati +povertà+insicurezza+..+...+ devo darti ragione!!!!";;@ @ @ @;;"654973055148695552";https://twitter.com/risiculo/status/654973055148695552
RogerHalsted;2015-09-14 18:28;4;1;"L'insicurezza dilaga, ecco come ci hanno ridotto... # Trieste, al via le # ronde anti # immigrati http://www.ilgiornale.it/news/cronache/trieste-ronde-anti-immigrati-1170790.html …";;;# # #;"643491590326079488";https://twitter.com/RogerHalsted/status/643491590326079488
wlalega;2015-08-13 12:13;0;0;"@ tagliocentrale @ Lady_ofShalott_ diventate paladini degli immigrati che non hanno mai pagato tasse e portano malattie, insicurezza,";;@ @;;"631800738612686848";https://twitter.com/wlalega/status/631800738612686848
enrichettamedd2;2015-06-09 18:04;0;0;"@ SergioChiampa gli immigrati portano degrado e insicurezza stiamo con Maroni";;@;;"608333952735170561";https://twitter.com/enrichettamedd2/status/608333952735170561
enrichettamedd2;2015-06-09 18:01;0;0;"@ SergioChiampa @ GIConfindustria dei cittadini italiani e non degli immigrati che portano degrado e insicurezza";;@ @;;"608333122560790528";https://twitter.com/enrichettamedd2/status/608333122560790528
roby_vet;2015-06-03 13:05;0;0;"@ ilmessaggeroit grandioso Matteo Renzi diventa Matteo Salvini, stretta su immigrati e insicurezza.dovremmo votare ogni di per avere";;@;;"606084267454681088";https://twitter.com/roby_vet/status/606084267454681088
GiulioTermite;2015-04-30 07:18;0;1;"@ Qangaceiro @ tossina_libera Soprattutto @ matteosalvinimi fa leva sui problemi immigrati e zingari che incutono paura ed insicurezza italiani";;@ @ @;;"593675795396177920";https://twitter.com/GiulioTermite/status/593675795396177920
MCTOGNINI;2015-04-14 17:00;0;0;"# Italia dopo 3 # governi non eletti, crollano le # scuole e le # autostrade siamo affollati da # sbarchi e # immigrati illegali più insicurezza";;;# # # # # #;"588024139920896001";https://twitter.com/MCTOGNINI/status/588024139920896001
carmeloabbate;2015-04-14 08:06;12;13;"Le parole forbite della sinistra portano immigrati comprati un tanto al chilo, e degrado, disordine, paura, insicurezza, criminalità";;;;"587889597050388480";https://twitter.com/carmeloabbate/status/587889597050388480
luigiburigo1;2015-03-23 20:43;0;0;"@ RenatoSchifani caro Schifani.la gente ne ha pieni i Cog.ni di ZINGARI ed IMMIGRATI senza Controlli.capito?quindi RABBIA+INSICUREZZA=Salvini";;@;;"580107507819003904";https://twitter.com/luigiburigo1/status/580107507819003904
VLombarda;2015-03-17 17:55;0;0;"@ dorina_bianchi @ NCD_tweet infatti aumentati crimini degli immigrati e insicurezza cittadini non dite più fesserie venduti al pd";;@ @;;"577890931447324672";https://twitter.com/VLombarda/status/577890931447324672
RogerHalsted;2015-03-14 13:02;19;9;"A cosa serve l' # invasione di # immigrati? Ad abbassare il costo del # lavoro e creare insicurezza, per renderci più controllabili.";;;# # #;"576730053591068672";https://twitter.com/RogerHalsted/status/576730053591068672
VLombarda;2015-03-07 11:18;0;0;"@ FraMirabelli @ pdnetwork @ SenatoriPD mentre voi fate entrare migliaia di immigrati senza arte ne parte, aumentando insicurezza sociale";;@ @ @;;"574167125465677824";https://twitter.com/VLombarda/status/574167125465677824
RaffaeleOrefic1;2015-02-17 21:22;1;1;"@ Rosa_Val1 Ma è anche quel senso di insicurezza crescente che assieme alle centinaia di migliaia di immigrati si nascondono terroristi,ladri";;@;;"567796222661259264";https://twitter.com/RaffaeleOrefic1/status/567796222661259264
PastoreFrance;2015-02-17 17:20;1;1;"Più immigrati sbarcano più è difficile gestire l'insicurezza individuale, la sicurezza pubblica e la gestione degli stessi immigrati.";;;;"567735460278337536";https://twitter.com/PastoreFrance/status/567735460278337536
MarcoTosti;2015-01-20 21:22;0;0;"Ah ma quindi l'insicurezza in casa che ci danno Mafia, Camorra e Ndrangheta ce l'hanno portata gli immigrati? # dimartedi Rossella che dici?";;;#;"557649284720771075";https://twitter.com/MarcoTosti/status/557649284720771075
