username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CorradoCingo;2015-12-17 15:07;0;0;""Per gli italiani la paura di perdere il lavoro è al primo posto,più di terrorismo,immigrati,criminalità." https://lnkd.in/eG-XfzM";;;;"677505373897547777";https://twitter.com/CorradoCingo/status/677505373897547777
eliadallaglio;2015-12-16 13:27;1;1;"Non ci sono solo motivi economici ma anche di sicurezza per non volete immigrati # clandestini. http://www.immoderati.it/2015/12/15/gli-immigrati-irregolari-delinquono-piu-degli-italiani-dirlo-non-salvini/?utm_campaign=shareaholic&utm_medium=facebook&utm_source=socialnetwork … # criminalità";;;# #;"677117920221274112";https://twitter.com/eliadallaglio/status/677117920221274112
Immoderati;2015-12-16 13:11;2;3;"Un articolo di @ eliadallaglio sulla criminalità degli immigrati. I dati sono allarmanti. http://www.immoderati.it/2015/12/15/gli-immigrati-irregolari-delinquono-piu-degli-italiani-dirlo-non-salvini/?utm_campaign=shareaholic&utm_medium=facebook&utm_source=socialnetwork …";;@;;"677113784188669953";https://twitter.com/Immoderati/status/677113784188669953
facciamocome;2015-12-15 13:46;3;0;"Nei Territori Palestinesi Occupati gli immigrati italiani vengono sterilizzati: per questo lì la criminalità è ai minimi storici.";;;;"676760208375480320";https://twitter.com/facciamocome/status/676760208375480320
cartadiroma;2015-12-15 10:54;2;2;"# notiziediconfine, rapporto # cartadiroma Tra le cattive pratiche più diffuse l'associazione di immigrati a criminalità";;;# #;"676717073117151232";https://twitter.com/cartadiroma/status/676717073117151232
gazzettamodena;2015-12-14 12:01;0;1;"# Criminalità, # quartiere. # immigrati, # corruzione, # controllo di # vicinato: ecco gli argomenti del sondacggio del... http://fb.me/VnBQ0SRL";;;# # # # # #;"676371495690571776";https://twitter.com/gazzettamodena/status/676371495690571776
TRUENUMBERSTW;2015-12-04 11:41;1;0;"Chiara divisione di # reati commessi soprattutto dagli # immigrati e reati tutti nostrani. # criminalità http://www.truenumbers.tv/index.php/off-topic/item/936-cosi-la-droga-produce-carcerati …";;;# # #;"672742413383958528";https://twitter.com/TRUENUMBERSTW/status/672742413383958528
a_porrini;2015-12-03 15:22;0;0;"Mi piacerebbero # Stazioni e luoghi pubblici con meno # Immigrati e più poliziotti. Più # sicurezza e meno # criminalità !";;;# # # #;"672435694330093568";https://twitter.com/a_porrini/status/672435694330093568
facciamocome;2015-11-26 23:40;0;0;"In Cina gli immigrati italiani vengono sterilizzati: per questo lì la criminalità è ai minimi storici.";;;;"670024286602678272";https://twitter.com/facciamocome/status/670024286602678272
DottrinaSociale;2015-11-26 20:19;1;0;"mons. Perego a # DSC15: in Ita 5 mln immigrati da 196 naz, quelli con famiglia hanno tasso criminalità inferiore a italiani: ricongiungimenti";;;#;"669973861664952322";https://twitter.com/DottrinaSociale/status/669973861664952322
facciamocome;2015-11-21 10:38;1;0;"In Georgia gli immigrati italiani vengono sterilizzati: per questo lì la criminalità è ai minimi storici.";;;;"668015579530461184";https://twitter.com/facciamocome/status/668015579530461184
AndCappe;2015-11-21 08:17;8;2;"ACCOGLIERE IMMIGRATI CLANDESTINI CI COSTA TRE VOLTE: 1000 EURO MESE A TESTA,DISAGI SOCIAL, CRIMINALITÀ e DISCRIMINAZIONE DISPERATI ITALIANI";;;;"667980106758029313";https://twitter.com/AndCappe/status/667980106758029313
RobertoRuocco68;2015-11-19 16:02;0;0;"# Immagrazione # Integrazione # criminalità POMIGLIANO D'ARCO – “ Da qualche anno gli immigrati sono la manovalanza... http://fb.me/2jc3wtkm2";;;# # #;"667372323176095745";https://twitter.com/RobertoRuocco68/status/667372323176095745
RobertoRuocco68;2015-11-19 16:01;0;0;"# Immagrazione # Integrazione # criminalità POMIGLIANO D'ARCO – “ Da qualche anno gli immigrati sono la manovalanza... http://fb.me/3GzzrXFZl";;;# # #;"667372136542150656";https://twitter.com/RobertoRuocco68/status/667372136542150656
r_u_f_f_;2015-11-14 00:40;0;0;"@Alexio_ge Certo che c'entra. Integrare in società civile, offrendo una alternativa valida alla criminalità. Per immigrati e italiani.";;@Alexio_ge;;"665328367705661441";https://twitter.com/r_u_f_f_/status/665328367705661441
Acidelius;2015-11-13 17:41;5;3;"Mafia, criminalità, ROM, violenza immigrati. Il contratto di esclusiva allo Stato per difesa del cittadino viene annullato per inadempienza.";;;;"665223081959510016";https://twitter.com/Acidelius/status/665223081959510016
migrantessiena;2015-11-13 15:05;0;0;"Berlusconi: "Fermare gli immigrati o criminalità aumenta" http://fb.me/7M4Tg9qJE";;;;"665183772258738177";https://twitter.com/migrantessiena/status/665183772258738177
