username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Peritas65;2015-12-22 10:07;0;0;"@ matteosalvinimi dopo i terroni, Roma ladrona,gli immigrati, i musulmani, gli attentati, ora siamo passati alla categoria malattie?";;@;;"679241880878628865";https://twitter.com/Peritas65/status/679241880878628865
CorsodiChimica;2015-11-30 12:09;0;0;"Questo è ciò che dovrebbe preoccuparci davvero per la nostra salute. Gli immigrati non portano malattie, la... http://fb.me/Uv5hTVsM";;;;"671300045531148288";https://twitter.com/CorsodiChimica/status/671300045531148288
FPuppato88;2015-11-29 20:32;0;0;"No ma tranquilli che Costa del pd ha detto che il vero problema è per gli immigrati di prendere le nostre malattie! https://twitter.com/Piovegovernolad/status/671057038076747776 …";;;;"671064086554243073";https://twitter.com/FPuppato88/status/671064086554243073
archiettoliber;2015-11-28 20:12;0;0;"@ ActionAidItalia respingendo immigrati clandestini salveremo la vita ai nostri figli causa importazione malattie endemiche in Africa!";;@;;"670696665045684224";https://twitter.com/archiettoliber/status/670696665045684224
noth2loos;2015-11-19 09:22;0;0;"@ sntgvn @virusrai2 # martino vuole che gli immigrati si paghino le spese mediche. poi arriverebbero salvini & meloni: portano malattie!";;@ @virusrai2;#;"667271796631191552";https://twitter.com/noth2loos/status/667271796631191552
charlygattociar;2015-11-09 20:54;2;0;"Quale malattie lo Stato può seguire? Quelle degli immigrati # QuintaColonna";;;#;"663821990709587969";https://twitter.com/charlygattociar/status/663821990709587969
Leftfordummies;2015-11-07 15:42;1;2;"la mia prozia 94enne con le sue malattie immaginarie consuma più welfare di un barcone di immigrati.";;;;"663018667240763392";https://twitter.com/Leftfordummies/status/663018667240763392
MalfidaElvira;2015-11-05 13:03;0;0;"Malattie e immigrati, Vecoli risponde a Mallegni: “Dicerie degne di siti di bufale” – http://fb.me/7z8Br1meG";;;;"662253789341196288";https://twitter.com/MalfidaElvira/status/662253789341196288
tgregione;2015-11-04 19:32;0;0;"Malattie e immigrati, Vecoli risponde a Mallegni: “Dicerie degne di siti di bufale”... http://fb.me/3O4uFQl3g";;;;"661989290361139200";https://twitter.com/tgregione/status/661989290361139200
AnsaAbruzzo;2015-10-31 17:31;0;0;"Asl L'Aquila aggrega gruppi famiglie - Immigrati e malattie gravi tra le sei criticità da affrontare http://ow.ly/36BAwu";;;;"660509292173377536";https://twitter.com/AnsaAbruzzo/status/660509292173377536
MassimoTedio;2015-10-26 08:10;0;0;"@ vittoriozucconi in italia vince (?) la sinistra che accusa gli immigrati di portare "temibili malattie infettive". pic.twitter.com/0soCip0MIC";;@;;"658556217250455552";https://twitter.com/MassimoTedio/status/658556217250455552
Marzia_M;2015-10-22 22:18;0;0;"# piazzapulita è giusto vaccinare i bambini ma xché se si parla del contagio di malattie da immigrati non è politicamente corretto?";;;#;"657320162262151169";https://twitter.com/Marzia_M/status/657320162262151169
archiettoliber;2015-10-22 22:12;0;0;"@ PiazzapulitaLA7 @ PaolaTavernaM5S @ alebucc con IMMIGRATI stiamo importando malattie debellate:ES.meningite.endemica in Africa!E noi muoriamo";;@ @ @;;"657318677088456704";https://twitter.com/archiettoliber/status/657318677088456704
mp_MarcoB;2015-10-22 22:10;0;0;"Gli ulivi non si tagliano più, non fa più caldo, l'ebola? Le malattie degli immigrati? Qual è il tema ricorrente dei tg in queste settimane?";;;;"657318134844669952";https://twitter.com/mp_MarcoB/status/657318134844669952
_DCarrera;2015-10-22 04:27;0;0;"@ CatenaUmana chi è quel genio del pd che ha detto che gli immigrati non portano malattie in Italia ma, anzi, le prendono da noi ???";;@;;"657050604980871168";https://twitter.com/_DCarrera/status/657050604980871168
sealveea;2015-10-21 20:53;0;3;""non sono libera di non vaccinare mio figlio perché gli immigrati portano le malattie" TU UN FIGLIO NON DOVRESTI NEANCHE AVERLO RITARDATA";;;;"656936436365729792";https://twitter.com/sealveea/status/656936436365729792
archiettoliber;2015-10-20 10:29;0;0;"@ Ariachetira ora dobbiamo vacvinarrci contro malattie che erano scomparse!!! Ora ritornano con immigrati africani portatori sani di virus!!";;@;;"656416941863735296";https://twitter.com/archiettoliber/status/656416941863735296
archiettoliber;2015-10-20 10:28;0;0;"@ Ariachetira ma nessuno dice che abbiamo importato con immigrati africani malattie endemiche da noi scomparse da 60 anni?? Ipocriti buonisti";;@;;"656416622312337408";https://twitter.com/archiettoliber/status/656416622312337408
alessioconte11;2015-10-19 20:22;0;0;"@ redazioneiene @ maisano_marco Tanto poi vengono qua a portare malattie, spacciare e fare casino. Come tutti gli immigrati che sono in italia";;@ @;;"656203804468224001";https://twitter.com/alessioconte11/status/656203804468224001
braveheartmmt;2015-10-19 08:00;0;0;"@andreazagra @ EuroMasochismo @ lameduck1960 la maggior parte delle malattie che immigrati possono ripresentare nn sono coperte da vaccini.";;@andreazagra @ @;;"656016966403137536";https://twitter.com/braveheartmmt/status/656016966403137536
