username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Ben_Barbanti;2015-12-30 20:59;1;2;"Qualcuno ha compreso la spiegazione del presidente @ matteorenzi sulla riduzione degli sbarchi nel 2015 vs 2014? pic.twitter.com/vDr6s7PoWL";;@;;"682289994904526848";https://twitter.com/Ben_Barbanti/status/682289994904526848
giuliabottini;2015-12-30 20:23;0;0;"Il Sole24 Ore: Emergenza sbarchi, piano Ue in dieci punti. Raddoppia Triton, ma rimpatrio rapido per i clandestini. http://google.com/newsstand/s/CBIwjsKMqxI …";;;;"682280992632102912";https://twitter.com/giuliabottini/status/682280992632102912
mirosmenil;2015-12-30 17:29;0;0;"Immigrazione, Boldrini: "Con i muri non si risolvono i problemi E come si risolvano DEFICENTE fermando i sbarchi e basta non e possiamo piu?";;;;"682236985952583681";https://twitter.com/mirosmenil/status/682236985952583681
mirosmenil;2015-12-30 17:22;0;0;"Immigrazione, Boldrini: "Con i muri non si risolvono i problemi Si risolvono fermando i sbarchi Ignorantona?ne abbiamo piu del conto BASTA??";;;;"682235417698123776";https://twitter.com/mirosmenil/status/682235417698123776
pinu_mi;2015-12-30 10:23;27;16;"SOLO CHI E' IN MALAFEDE NN AMMETTE CHE QUESTA E' LA VERITA' Sbarchi? Un’«invasione programmata», parola di nigeriano http://www.secoloditalia.it/2015/07/gli-sbarchi-uninvasione-programmata-parola-nigeriano/ …";;;;"682129753424441344";https://twitter.com/pinu_mi/status/682129753424441344
_marco_merlin;2015-12-30 09:51;0;0;"@ angealfa Prova con calma vedrai che esiste l'autolspulsione, vergognati di esistere, 65 espulsioni su 6.000.000 di sbarchi clandestini.";;@;;"682121883337265152";https://twitter.com/_marco_merlin/status/682121883337265152
hele_fr;2015-12-30 09:30;1;0;"Migranti, 1 mln di sbarchi nel 2015 - Tgcom24 http://mdst.it/02a2151538/  un esodo e secondo # Renzi sono pochi";;;#;"682116626376966144";https://twitter.com/hele_fr/status/682116626376966144
MediasetTgcom24;2015-12-30 08:11;7;4;"Migranti,un mln di sbarchi nel 2015 - Unhcr: "150mila giunti in Italia" # Unhcr http://mdst.it/02a2151538/ pic.twitter.com/SbDGI8P38v";;;#;"682096749721337856";https://twitter.com/MediasetTgcom24/status/682096749721337856
marisafebbraro;2015-12-29 20:35;0;0;"@ FrancoBechis ci sono stati meno sbarchi di migranti del 2014??? Ma sul serio???";;@;;"681921548110946304";https://twitter.com/marisafebbraro/status/681921548110946304
FeelingItaly;2015-12-29 19:39;0;0;"InstaPic by annaprix: Sbarchi # salerno # visitsalerno # dafareasalerno # turismocampania # lucidartista # igerssalerno #…pic.twitter.com/4ipfRk9qKV";;;# # # # # # #;"681907512099115008";https://twitter.com/FeelingItaly/status/681907512099115008
infoitcultura;2015-12-29 19:31;0;0;"Sbarchi a Catania, fermato presunto scafista (Nuovo Sud) http://bit.ly/1NOCfUf";;;;"681905376292397056";https://twitter.com/infoitcultura/status/681905376292397056
gasparripdl;2015-12-29 19:18;6;1;"@ LucioMalan dice meno sbarchi poi chiede rimborso a UE per maggior spesa 3,3 miliardi, # renzibugiardo e imbroglione";;@;#;"681902107767738368";https://twitter.com/gasparripdl/status/681902107767738368
ElenaInvernizzi;2015-12-29 17:30;3;1;"Renzi: come ti invento la supercazzola dividendo l'immigrazione dagli sbarchi. Premio # cazzarodellanno # conferenzafineanno";;;# #;"681875050585284609";https://twitter.com/ElenaInvernizzi/status/681875050585284609
CentroAstalli;2015-12-29 15:36;4;5;"Nuovi sbarchi: Tremila migranti soccorsi nella settimana di Natale - Centro Astalli http://fb.me/2AhFHCHIj";;;;"681846148404002816";https://twitter.com/CentroAstalli/status/681846148404002816
mariolavia;2015-12-29 13:48;2;1;"Renzi, quest'anno 150mila sbarchi, l'anno scorso 170mila.";;;;"681819175040499712";https://twitter.com/mariolavia/status/681819175040499712
newsagielle;2015-12-29 12:59;0;0;"Immigrazione: Renzi; in 2015 meno sbarchi, record storico http://ift.tt/1QXvVxx # gzagato http://ift.tt/1rKWMRu";;;#;"681806708071641088";https://twitter.com/newsagielle/status/681806708071641088
immigrazione;2015-12-29 12:36;0;0;"Renzi: "Nel 2015 meno sbarchi e meno immigrati, record storico" - Il portale dell'immigrazione e... http://fb.me/2pFWjl3PC";;;;"681801026467446785";https://twitter.com/immigrazione/status/681801026467446785
cattif_49;2015-12-29 12:32;1;0;"@repubblicait @ matteorenzi @ staisereno che gli sbarchi sono ricominciati alla grande. A quando le migliaia di rimpatri promessi? Al 3000 ?";;@repubblicait @ @;;"681799838581800960";https://twitter.com/cattif_49/status/681799838581800960
Gianni_Ciasullo;2015-12-29 12:24;0;0;"@ Adnkronos più sbarchi";;@;;"681797858509631488";https://twitter.com/Gianni_Ciasullo/status/681797858509631488
Gianni_Ciasullo;2015-12-29 12:20;0;0;"@ Agenzia_Ansa @ matteorenzi più sbarchi e morti impiccati meglio di così # bugiardoseriale";;@ @;#;"681796954590961664";https://twitter.com/Gianni_Ciasullo/status/681796954590961664
paolo_maiellaro;2015-12-29 12:16;1;1;"# VocidiPalazzo: # Renzi durante # BuonAnno "nel 2015 meno sbarchi e meno immigrati, record storico" / va detto che hanno spostato la rotta pe…";;;# # #;"681795950441029632";https://twitter.com/paolo_maiellaro/status/681795950441029632
adriano_savio;2015-12-29 12:07;0;0;"@ TgLa7 @ matteorenzi meno immigrati in Italia, non sbarchi. Ma questo fa solo tweet, ma quando lavora?";;@ @;;"681793648841719808";https://twitter.com/adriano_savio/status/681793648841719808
